Timestamp, Measurement (uW)
1759345186, 26.100uW
1759345188, 26.093uW
1759345189, 26.106uW
1759345191, 26.101uW
1759345192, 26.084uW
1759345194, 26.081uW
1759345195, 26.075uW
1759345197, 26.056uW
1759345199, 26.054uW
1759345200, 26.051uW
1759345202, 26.048uW
1759345204, 26.040uW
1759345205, 26.033uW
1759345207, 26.027uW
1759345208, 26.009uW
1759345209, 26.005uW
1759345210, 25.998uW
1759345211, 25.988uW
1759345213, 25.975uW
1759345214, 25.981uW
1759345215, 25.990uW
1759345216, 25.989uW
1759345217, 25.991uW
1759345219, 25.999uW
1759345220, 26.004uW
1759345221, 25.997uW
1759345222, 26.002uW
1759345223, 26.011uW
1759345225, 26.011uW
1759345226, 26.008uW
1759345227, 26.009uW
1759345228, 26.007uW
1759345229, 25.999uW
1759345231, 26.000uW
1759345232, 26.000uW
1759345233, 26.006uW
1759345234, 26.002uW
1759345235, 26.002uW
1759345237, 25.996uW
1759345238, 26.006uW
1759345239, 26.004uW
1759345240, 25.991uW
1759345242, 25.986uW
1759345243, 25.981uW
1759345244, 25.978uW
1759345245, 25.973uW
1759345246, 25.974uW
1759345248, 25.966uW
1759345249, 25.965uW
1759345250, 25.970uW
1759345251, 25.977uW
1759345252, 25.964uW
1759345254, 25.961uW
1759345255, 25.954uW
1759345256, 25.951uW
1759345257, 25.956uW
1759345258, 25.954uW
1759345260, 25.955uW
1759345261, 25.949uW
1759345262, 25.943uW
1759345263, 25.951uW
1759345264, 25.967uW
1759345266, 25.985uW
1759345267, 26.004uW
1759345268, 26.012uW
1759345269, 26.031uW
1759345270, 26.032uW
1759345272, 26.040uW
1759345273, 26.044uW
1759345274, 26.040uW
1759345275, 26.036uW
1759345276, 26.041uW
1759345278, 26.036uW
1759345279, 26.034uW
1759345280, 26.029uW
1759345281, 26.024uW
1759345282, 26.033uW
1759345284, 26.041uW
1759345286, 26.053uW
1759345287, 26.055uW
1759345288, 26.057uW
1759345290, 26.055uW
1759345291, 26.038uW
1759345292, 26.019uW
1759345294, 26.001uW
1759345295, 25.994uW
1759345296, 25.994uW
1759345298, 25.988uW
1759345299, 25.988uW
1759345300, 25.980uW
1759345301, 25.970uW
1759345302, 25.971uW
1759345304, 25.956uW
1759345305, 25.949uW
1759345306, 25.952uW
1759345307, 25.949uW
1759345308, 25.934uW
1759345310, 25.936uW
1759345311, 25.931uW
1759345312, 25.929uW
1759345313, 25.910uW
1759345314, 25.910uW
1759345316, 25.906uW
1759345317, 25.903uW
1759345318, 25.897uW
1759345319, 25.913uW
1759345321, 25.918uW
1759345322, 25.924uW
1759345323, 25.921uW
1759345324, 25.920uW
1759345325, 25.899uW
1759345327, 25.895uW
1759345328, 25.886uW
1759345329, 25.878uW
1759345330, 25.892uW
1759345331, 25.888uW
1759345333, 25.881uW
1759345334, 25.875uW
1759345335, 25.870uW
1759345336, 25.851uW
1759345337, 25.850uW
1759345339, 25.846uW
1759345340, 25.853uW
1759345341, 25.850uW
1759345342, 25.848uW
1759345343, 25.845uW
1759345345, 25.843uW
1759345346, 25.844uW
1759345347, 25.829uW
1759345348, 25.829uW
1759345349, 25.829uW
1759345351, 25.829uW
1759345352, 25.837uW
1759345353, 25.836uW
1759345354, 25.832uW
1759345355, 25.835uW
1759345357, 25.823uW
1759345358, 25.821uW
1759345359, 25.817uW
1759345360, 25.823uW
1759345362, 25.806uW
1759345363, 25.804uW
1759345364, 25.817uW
1759345365, 25.832uW
1759345366, 25.825uW
1759345368, 25.830uW
1759345369, 25.825uW
1759345370, 25.823uW
1759345371, 25.812uW
1759345372, 25.811uW
1759345374, 25.818uW
1759345375, 25.811uW
1759345376, 25.803uW
1759345377, 25.795uW
1759345378, 25.788uW
1759345380, 25.795uW
1759345381, 25.776uW
1759345382, 25.770uW
1759345383, 25.758uW
1759345384, 25.752uW
1759345386, 25.756uW
1759345387, 25.756uW
1759345388, 25.753uW
1759345389, 25.747uW
1759345390, 25.764uW
1759345392, 25.776uW
1759345393, 25.784uW
1759345394, 25.803uW
1759345395, 25.812uW
1759345397, 25.819uW
1759345398, 25.829uW
1759345399, 25.831uW
1759345400, 25.840uW
1759345401, 25.862uW
1759345403, 25.865uW
1759345404, 25.883uW
1759345405, 25.889uW
1759345406, 25.905uW
1759345407, 25.907uW
1759345409, 25.922uW
1759345410, 25.941uW
1759345411, 25.959uW
1759345412, 25.977uW
1759345413, 25.995uW
1759345415, 26.011uW
1759345416, 26.006uW
1759345417, 26.007uW
1759345418, 26.010uW
1759345419, 26.013uW
1759345421, 26.034uW
1759345422, 26.053uW
1759345423, 26.073uW
1759345424, 26.089uW
1759345425, 26.096uW
1759345427, 26.108uW
1759345428, 26.116uW
1759345429, 26.133uW
1759345430, 26.130uW
1759345432, 26.113uW
1759345433, 26.088uW
1759345434, 26.066uW
1759345435, 26.060uW
1759345436, 26.045uW
1759345438, 26.035uW
1759345439, 26.009uW
1759345440, 25.991uW
1759345441, 25.967uW
1759345442, 25.960uW
1759345444, 25.965uW
1759345445, 25.956uW
1759345446, 25.952uW
1759345447, 25.946uW
1759345448, 25.941uW
1759345450, 25.935uW
1759345451, 25.935uW
1759345452, 25.927uW
1759345453, 25.915uW
1759345454, 25.910uW
1759345456, 25.910uW
1759345457, 25.916uW
1759345458, 25.906uW
1759345459, 25.899uW
1759345460, 25.898uW
1759345462, 25.892uW
1759345463, 25.891uW
1759345464, 25.888uW
1759345465, 25.886uW
1759345467, 25.879uW
1759345468, 25.876uW
1759345469, 25.876uW
1759345470, 25.876uW
1759345471, 25.873uW
1759345473, 25.875uW
1759345474, 25.878uW
1759345475, 25.894uW
1759345476, 25.913uW
1759345477, 25.923uW
1759345479, 25.936uW
1759345480, 25.949uW
1759345481, 25.949uW
1759345482, 25.959uW
1759345483, 25.971uW
1759345485, 25.974uW
1759345486, 25.981uW
1759345487, 25.981uW
1759345488, 25.978uW
1759345489, 25.975uW
1759345491, 25.978uW
1759345492, 25.969uW
1759345493, 25.964uW
